Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
532500,367500,11.73
272500,707500,11.33
302500,317500,21.99
132500,527500,9.46
552500,142500,11.23
272500,77500,19.89
297500,727500,9.61
277500,702500,9.38
122500,837500,5.62
532500,107500,13.4
192500,682500,13.06
272500,262500,12.68
242500,127500,10
332500,387500,10.79
602500,222500,10.85
317500,492500,14.04
432500,367500,26.42
427500,1177500,8.8
342500,507500,27.65
367500,602500,27.16
387500,172500,12.92
352500,287500,13.24
262500,922500,5.6
417500,227500,15.39
422500,302500,15.17
347500,702500,6.72
212500,212500,14.32
517500,147500,16.6
212500,837500,7.6
417500,232500,17.29
212500,677500,13.9
262500,82500,20.25
117500,507500,9.27
117500,472500,14.21
312500,312500,16.98
412500,532500,13.28
87500,542500,11.65
347500,557500,9.78
392500,852500,12.08
327500,997500,8.29
257500,597500,31.22
427500,602500,8.52
212500,197500,7.4
102500,587500,10.11
297500,592500,20.76
252500,237500,16.78
572500,152500,10.37
417500,562500,11.67
272500,47500,8.94
212500,797500,8.6
427500,592500,8.29
307500,242500,14.8
432500,417500,16.9
317500,587500,14.2
282500,742500,17.95
272500,52500,12.61
347500,772500,19.24
497500,222500,10.54
472500,127500,17.04
217500,567500,15.01
107500,927500,7.67
402500,572500,11.48
337500,717500,8.47
477500,472500,13.21
372500,152500,15.6
322500,377500,10.31
372500,507500,25.36
327500,347500,17.75
117500,847500,4.71
187500,887500,4.44
207500,202500,8.74
437500,457500,12.91
397500,317500,20.06
347500,152500,10.65
342500,727500,8.24
597500,252500,9.29
407500,827500,8.85
42500,557500,6.55
172500,792500,5.48
392500,792500,11.8
72500,587500,4.63
282500,562500,15.65
607500,247500,8.54
177500,612500,9.18
282500,582500,18.86
412500,577500,9.57
342500,647500,15.63
542500,137500,15.39
352500,182500,9.36
177500,887500,3.46
632500,232500,11.55
332500,437500,9.68
482500,437500,14.86
282500,42500,9.21
477500,297500,13.3
247500,532500,9.42
127500,762500,6.44
147500,792500,6.16
342500,352500,9.62
567500,177500,9.81
292500,847500,8.23
147500,817500,7.39
357500,842500,10.19
532500,337500,8.56
237500,812500,5.84
237500,607500,17.98
132500,647500,5.96
142500,37500,9.83
47500,512500,7.13
147500,827500,8.78
352500,807500,12.03
297500,907500,3.97
242500,607500,18.8
317500,772500,12.4
332500,182500,9.78
387500,477500,25.12
407500,207500,12.24
437500,1192500,12.37
362500,87500,9.53
487500,447500,16.82
257500,637500,13.6
497500,157500,13.7
192500,722500,14.18
272500,632500,16.68
392500,412500,21.17
277500,927500,7.67
202500,772500,10.52
242500,782500,9.28
352500,1037500,7.71
182500,832500,6.24
347500,297500,13
377500,412500,20.02
407500,577500,10.11
452500,177500,13.09
617500,267500,16.63
527500,417500,11.89
597500,242500,8.59
247500,262500,9.78
377500,532500,23.32
122500,722500,5.09
497500,247500,9.51
632500,282500,11.74
577500,232500,10.38
217500,762500,14.32
327500,572500,12.27
77500,527500,15.52
477500,327500,12.12
512500,162500,14.3
157500,937500,3.26
77500,502500,5.88
292500,302500,16.59
52500,552500,8.46
417500,367500,23.36
207500,222500,12.51
232500,107500,12.66
442500,1137500,13.14
542500,312500,8.67
272500,877500,5.35
142500,822500,8.13
202500,917500,3.08
517500,117500,13.18
582500,242500,8.08
432500,392500,26.22
117500,572500,12.4
172500,797500,5.26
442500,87500,9.8
347500,747500,12.84
347500,322500,11.73
342500,212500,14.18
272500,962500,6.3
302500,802500,12.17
357500,382500,11.33
322500,947500,7.1
457500,112500,16.05
332500,587500,18.06
357500,642500,12.04
517500,372500,10.3
337500,617500,22.57
237500,902500,5.97
292500,147500,14.86
557500,322500,9.41
337500,212500,15.33
397500,532500,21.21
57500,527500,9.31
112500,557500,8.8
452500,117500,14.78
167500,522500,9.43
437500,102500,14.71
387500,347500,17.8
272500,807500,7.21
212500,702500,19.28
217500,872500,7.36
467500,327500,10.89
282500,367500,17.33
247500,772500,12.54
207500,717500,17.38
312500,352500,15.52
212500,242500,14.3
347500,762500,11.76
302500,602500,22.31
307500,272500,17.2
382500,477500,22.88
557500,377500,11.15
272500,777500,9.75
342500,787500,26.34
187500,57500,9.67
392500,107500,12.45
542500,397500,10.2
342500,812500,12.04
222500,962500,5.04
332500,957500,6.27
507500,352500,11.95
597500,317500,12.6
362500,102500,15.04
492500,232500,14.28
412500,97500,14.69
567500,202500,9.74
422500,97500,13.88
412500,287500,18.08
142500,732500,6.36
652500,287500,8.53
232500,762500,16.01
302500,267500,16.47
477500,102500,8.54
342500,422500,9.07
497500,102500,8.45
377500,372500,13.81
347500,177500,9.62
472500,472500,13.44
212500,812500,10.09
282500,937500,5.82
432500,1177500,10.31
342500,157500,11.63
302500,367500,15.57
177500,717500,8.72
367500,742500,6.67
462500,362500,17.84
232500,392500,8.6
217500,237500,16.11
207500,67500,14.48
292500,592500,18.35
597500,262500,12.45
497500,477500,16.46
492500,427500,11.53
442500,1187500,11.13
162500,682500,9.69
232500,207500,8.24
517500,302500,12.13
382500,142500,21.47
412500,262500,11
347500,512500,32.66
547500,162500,14.91
352500,277500,13.71
317500,952500,7.03
377500,1057500,6.38
427500,177500,16.04
177500,227500,5.9
222500,952500,5.42
172500,777500,7.92
287500,552500,10.55
92500,537500,10.44
472500,162500,13.08
247500,242500,14.24
507500,402500,11.83
302500,762500,10.75
42500,482500,4.46
392500,557500,15.78
542500,322500,9.1
407500,242500,10.02
377500,587500,21.8
417500,557500,13.23
147500,657500,9.39
112500,847500,4.12
