Pollutant Name: nitrogen (N),,
Pollutant Type: total deposition,,
Units: kg N ha-1 yr-1,,
Year: 2014,,
Resolution: 5km (Midpoint in metres of 5x5km grid square of the OS grid for Great Britain),,
,,
Easting,Northing,Value
402500,627500,17.06
397500,797500,9.74
262500,707500,13.89
342500,187500,10.69
252500,227500,14.2
197500,817500,10.04
292500,922500,6.93
322500,647500,18.6
467500,162500,11.01
332500,557500,8.77
102500,502500,11.1
392500,272500,13.13
142500,512500,12.13
377500,812500,16.99
227500,747500,16.76
362500,147500,15.69
172500,602500,8.61
567500,227500,9.37
297500,212500,20.24
352500,1042500,7.52
637500,262500,9.86
632500,262500,13.5
37500,492500,8.52
207500,887500,5.81
447500,372500,18.43
217500,932500,5.29
257500,857500,3.75
422500,147500,12.89
297500,612500,24.11
442500,562500,9.54
532500,212500,12.84
507500,447500,11.34
312500,637500,16.1
222500,667500,11.22
107500,892500,4.72
502500,197500,14.65
27500,497500,9.69
582500,332500,11.3
407500,372500,28.29
237500,592500,25.42
162500,802500,5.83
312500,222500,22.02
562500,202500,10.26
387500,177500,14.91
397500,272500,13.94
592500,312500,12.06
317500,947500,7.44
387500,602500,18.41
272500,767500,9.55
467500,377500,13.46
192500,627500,9.65
107500,522500,8.81
397500,827500,12.08
212500,217500,13.34
242500,77500,13.29
307500,102500,11.78
347500,627500,15.81
382500,182500,13.87
612500,327500,12.17
352500,337500,12.91
102500,492500,17.81
317500,252500,17.1
252500,832500,5.36
242500,717500,22.01
437500,87500,8.68
422500,612500,9.1
322500,332500,18.42
362500,757500,9.83
307500,187500,15.9
362500,242500,10.64
182500,862500,4.49
417500,462500,20.58
267500,287500,8.1
212500,767500,12.42
132500,947500,4.37
272500,582500,21.31
312500,297500,12.46
322500,497500,19.77
387500,437500,21.83
562500,327500,8.72
507500,342500,11.99
452500,502500,18.78
72500,797500,5.04
417500,207500,12.26
147500,477500,6.43
337500,1037500,7.36
107500,567500,10.46
342500,142500,8.75
377500,222500,12.76
377500,857500,10.11
312500,767500,10.43
372500,107500,13.28
612500,212500,7.45
32500,557500,9.42
292500,262500,17.48
377500,662500,11.71
237500,832500,5.58
352500,647500,13.24
217500,57500,9.81
267500,67500,17.68
362500,317500,9.97
217500,572500,16.68
217500,592500,13.75
397500,422500,28.24
537500,282500,8.51
97500,492500,18.84
127500,857500,5.75
77500,482500,9.48
422500,637500,12.45
347500,207500,16.4
362500,597500,27.81
302500,87500,13.03
347500,97500,8.34
502500,187500,15.4
212500,787500,8.64
442500,92500,10.29
197500,222500,12.17
232500,57500,9.53
302500,607500,26.77
372500,847500,12.43
457500,237500,13.72
452500,507500,13.26
377500,327500,12.73
377500,452500,21.61
572500,277500,11.07
327500,632500,23.35
282500,827500,5.44
352500,437500,12.2
327500,747500,6.96
317500,617500,24.28
312500,557500,8.96
52500,562500,9.28
412500,492500,20.17
252500,102500,12.32
72500,552500,13.04
242500,92500,11.91
347500,302500,14.33
242500,367500,9.18
632500,302500,11.38
72500,802500,5.31
412500,477500,29.22
142500,582500,17.87
17500,902500,10.38
252500,872500,7.72
417500,617500,10.38
392500,867500,7.59
392500,797500,12.33
492500,362500,11.52
322500,302500,12.83
367500,552500,17.01
347500,172500,11.61
282500,747500,14.56
107500,532500,10.17
287500,182500,10.17
352500,1007500,7.98
382500,622500,14.86
177500,837500,5.01
302500,577500,13.97
227500,777500,13.81
237500,922500,11.57
327500,842500,9.81
357500,247500,10.41
377500,517500,18.39
107500,602500,5.82
212500,57500,10.66
507500,122500,13.69
352500,172500,12.97
562500,322500,10.79
362500,282500,14.52
172500,892500,3.25
537500,372500,12.88
397500,822500,11.31
502500,182500,13.75
612500,232500,9.8
482500,172500,11.45
342500,807500,12.84
142500,22500,6.68
297500,147500,11.67
272500,557500,14.88
422500,287500,13.73
517500,172500,14.27
477500,252500,15.27
192500,82500,6.4
202500,212500,11.21
417500,602500,9.27
237500,842500,5.4
577500,262500,10.74
147500,837500,9.48
377500,197500,16.58
162500,767500,8.33
372500,817500,13.7
277500,837500,5.99
452500,417500,13.1
512500,367500,10.13
307500,362500,17.13
222500,227500,13.6
252500,692500,12.07
427500,132500,13.13
112500,567500,9.76
252500,807500,7.95
452500,497500,19.56
512500,362500,8.81
582500,342500,8.1
297500,142500,15.98
302500,567500,14.84
362500,1042500,6.9
577500,337500,9.48
317500,522500,19.49
497500,127500,14.69
597500,157500,12.79
247500,937500,10.36
72500,577500,12.93
242500,837500,4.69
52500,567500,6.11
102500,887500,4.25
422500,442500,20.24
312500,582500,15.04
357500,587500,25.77
402500,97500,17
657500,292500,10.98
217500,77500,16.42
197500,702500,13.83
257500,917500,5.78
407500,227500,19.29
542500,177500,14.1
567500,117500,13.41
137500,647500,7.05
527500,172500,14.18
377500,492500,27.43
537500,272500,8.33
377500,87500,12.2
317500,177500,12.02
122500,897500,4.49
457500,1167500,8.24
302500,627500,17.21
227500,677500,13.97
382500,842500,11.73
387500,222500,11.27
202500,687500,15.82
32500,502500,8.71
422500,542500,13.11
522500,347500,8.75
207500,622500,7.92
517500,382500,12.6
372500,747500,7.51
317500,777500,14.66
347500,517500,38.97
367500,702500,6.6
272500,372500,21.41
307500,217500,24.06
192500,687500,13.14
372500,807500,17.68
422500,317500,11.82
482500,257500,13.99
92500,547500,15.51
427500,417500,18.96
327500,502500,25.53
187500,632500,8.75
297500,842500,6.81
537500,262500,9.77
232500,672500,18.37
257500,557500,14.46
482500,157500,16.53
267500,377500,11.21
352500,127500,9.37
167500,837500,5.38
317500,132500,11.84
467500,512500,19.13
472500,477500,12.18
297500,82500,9.54
152500,32500,8.79
492500,292500,13.1
297500,857500,5.74
372500,397500,13.52
287500,872500,2.85
502500,407500,12.83
472500,417500,11.79
472500,502500,21.28
387500,82500,12.61
32500,552500,11.98
587500,127500,10.52
537500,167500,15.1
397500,197500,12.33
392500,842500,11.26
552500,117500,13.22
222500,647500,9.1
332500,162500,9.08
387500,372500,17.75
212500,92500,13.12
367500,647500,11.27
342500,362500,11.21
412500,432500,21.93
317500,297500,12.77
412500,317500,11.94
122500,582500,12.28
232500,127500,11.35
392500,202500,14.51
137500,722500,5.87
287500,67500,10.35
397500,152500,13.78
497500,317500,13.11
472500,452500,11.88
307500,752500,10.34
67500,537500,8.62
452500,152500,12.21
177500,832500,5.14
112500,562500,10.63
262500,102500,11.89
457500,1217500,8.64
372500,462500,31.13
92500,532500,10.49
552500,262500,7.8
317500,707500,11.73
237500,77500,16.4
287500,342500,23.78
617500,157500,13.21
327500,832500,8.83
232500,77500,16.16
177500,602500,7.88
82500,867500,3.9
377500,622500,11.72
302500,862500,4.52
432500,472500,14.35
592500,252500,10.43
232500,477500,8.09
592500,117500,9.16
147500,857500,6.67
397500,862500,9.51
207500,552500,11.68
132500,487500,19.3
467500,392500,10.68
232500,932500,9.67
297500,112500,11.52
527500,202500,16.16
407500,287500,18.64
417500,222500,14.04
357500,107500,14.01
332500,827500,11.04
297500,342500,19.26
297500,167500,6.46
537500,102500,10.02
357500,607500,22.88
297500,757500,9.35
322500,322500,13.78
437500,177500,12.89
217500,747500,19.76
267500,42500,6.78
177500,622500,13.92
532500,227500,11.2
582500,267500,12.83
487500,467500,18.65
112500,577500,12.81
422500,512500,11.79
237500,207500,9.24
282500,912500,6.17
382500,287500,14.36
342500,572500,11.4
317500,592500,13.99
137500,497500,12.92
182500,817500,6.53
277500,897500,5.18
212500,897500,5.09
367500,842500,13.29
497500,492500,15.75
537500,127500,13.99
577500,247500,8.79
202500,767500,9.58
302500,102500,11.24
537500,222500,11.57
257500,547500,10.7
537500,297500,6.84
42500,552500,9.19
362500,392500,11.63
392500,477500,30.75
237500,557500,12.98
272500,727500,18.07
482500,117500,16.17
452500,487500,16.13
437500,407500,18.75
342500,847500,11.22
267500,912500,5.41
77500,552500,15.4
107500,562500,10.75
372500,207500,12.28
372500,602500,26.35
357500,567500,10.18
482500,392500,11.9
132500,747500,6.39
332500,1032500,9.24
632500,257500,12.6
182500,677500,11.01
642500,247500,9.9
227500,62500,12.1
607500,312500,12.57
572500,162500,13.73
227500,387500,6.13
162500,527500,10.07
347500,277500,11.7
327500,362500,16.88
337500,997500,6.42
187500,52500,12.54
227500,392500,6.68
507500,377500,12.87
242500,817500,5.71
227500,597500,18.58
422500,282500,16.75
372500,822500,12.12
362500,167500,11.73
292500,197500,22.98
352500,842500,12.39
262500,607500,25.79
562500,292500,9.15
627500,322500,10.03
292500,287500,19.31
147500,647500,7.27
202500,717500,15.44
172500,692500,8.94
417500,567500,10.28
377500,1047500,6.56
302500,147500,10.23
312500,227500,22.43
342500,737500,9.36
352500,642500,11.95
537500,187500,14.77
252500,782500,10.26
357500,207500,18.68
297500,307500,17.91
472500,287500,14.23
527500,272500,9.51
357500,1002500,7.77
462500,237500,13.76
277500,782500,10.36
297500,277500,17.2
347500,222500,14.31
422500,157500,13.23
262500,117500,11.23
207500,767500,9.53
397500,237500,10.64
332500,552500,10.14
272500,602500,26.58
77500,567500,11.27
307500,962500,7.41
472500,292500,12.61
427500,267500,12.51
437500,367500,23.62
352500,402500,12.29
432500,317500,12.65
267500,382500,8.49
322500,852500,9.89
297500,362500,17.16
437500,1177500,10.87
402500,172500,14.48
462500,527500,9.86
337500,642500,16.75
242500,377500,8.92
297500,217500,19.11
472500,397500,9.9
417500,107500,17.78
452500,452500,13.09
322500,582500,14.63
302500,112500,11.3
322500,222500,21.32
327500,357500,19.71
247500,657500,13.37
97500,877500,3.18
367500,362500,13.99
632500,312500,11.2
542500,367500,10.85
257500,672500,9.78
442500,457500,11.56
242500,737500,21.71
362500,267500,11.38
377500,182500,12.71
507500,112500,11.04
207500,907500,3.75
237500,802500,8.25
477500,342500,9.29
312500,512500,15.96
502500,127500,15.05
412500,417500,30.7
47500,497500,9.14
207500,827500,8.81
562500,232500,11.22
212500,682500,15.2
122500,502500,11.57
232500,72500,15.02
347500,867500,7.89
387500,637500,9.03
452500,292500,12.1
272500,222500,16.72
522500,352500,8.93
512500,267500,10.54
272500,692500,16
252500,617500,19.18
422500,267500,12.25
467500,307500,10.8
92500,597500,7.15
532500,217500,11.25
347500,492500,17.67
357500,747500,11.45
477500,207500,9.62
437500,1182500,11.22
592500,282500,16.95
82500,852500,3.69
372500,517500,16.55
337500,332500,13.32
137500,837500,7.72
322500,712500,11.11
307500,682500,7.69
212500,77500,13.45
347500,217500,13.4
387500,212500,16.65
532500,417500,9.64
257500,827500,4.39
587500,237500,9.63
412500,847500,9.52
582500,142500,9.43
127500,917500,5.82
292500,927500,6.37
157500,547500,10.18
487500,422500,10.94
272500,802500,5.72
427500,567500,10.4
247500,642500,10.55
272500,947500,5.41
292500,62500,10.36
422500,172500,15.61
452500,307500,16.03
362500,232500,11.11
352500,162500,13.27
327500,687500,7.2
277500,32500,7.35
342500,607500,20.82
117500,887500,3.79
312500,757500,11.37
427500,97500,12.81
372500,782500,23.51
302500,192500,19.79
172500,847500,5.5
477500,457500,13.84
462500,1207500,10.62
242500,252500,12.67
317500,357500,14.54
312500,347500,16.25
122500,522500,8.04
262500,892500,5.81
317500,562500,9.54
272500,152500,10.73
647500,272500,12.17
437500,1117500,10.58
177500,637500,15.29
242500,612500,16.51
567500,212500,8.9
417500,272500,13.49
532500,222500,11.55
422500,217500,13.91
412500,467500,21.33
467500,122500,15.27
447500,392500,15.52
362500,127500,11.36
502500,267500,10.82
117500,842500,5.09
407500,357500,22.9
332500,232500,18.23
312500,772500,12.81
382500,412500,20.64
222500,642500,9.34
432500,567500,10.98
472500,177500,12.12
362500,802500,15.93
522500,262500,8.53
467500,287500,12.73
297500,672500,10.8
462500,507500,21.17
292500,572500,17.16
197500,917500,3.21
197500,912500,3.22
357500,482500,12.09
412500,177500,14.65
92500,557500,10.97
492500,422500,12.08
327500,107500,16.56
342500,432500,11.91
297500,682500,10.42
497500,362500,13.24
347500,372500,9.69
342500,462500,10.03
537500,177500,13.9
197500,687500,13.15
277500,577500,18.84
332500,507500,36.09
332500,817500,12.39
492500,167500,15.87
137500,602500,12.15
497500,232500,13.48
212500,657500,9.92
292500,932500,5.84
642500,252500,10.32
417500,1157500,7.86
227500,657500,12.41
512500,142500,17.41
77500,827500,5.01
247500,612500,22.8
7500,497500,5.62
287500,367500,16.26
237500,732500,20.24
547500,117500,12.54
452500,227500,13.06
377500,252500,10.55
367500,557500,20.17
317500,797500,11.58
112500,597500,10.28
377500,672500,11.47
412500,137500,12.75
317500,337500,25.22
572500,327500,10.23
227500,547500,10.22
227500,737500,15.98
577500,307500,13.87
542500,197500,17.02
442500,1162500,10.99
242500,642500,9.85
282500,882500,4.17
572500,302500,11.06
107500,902500,5.12
242500,337500,6.54
407500,832500,8.84
622500,337500,10.89
262500,687500,16.75
327500,787500,20.92
262500,677500,11.22
447500,132500,13.97
487500,107500,10.99
492500,147500,13.66
297500,322500,25.78
212500,842500,7.28
327500,782500,21.62
397500,132500,13.04
327500,992500,6.92
377500,852500,11.95
272500,272500,11.99
272500,862500,5.01
307500,607500,20.86
97500,932500,6.01
312500,602500,19.68
322500,972500,6.94
337500,147500,6.6
417500,422500,22.99
297500,122500,11.85
472500,267500,11.44
447500,387500,15.05
537500,377500,11.78
257500,227500,14.06
367500,597500,25.5
457500,347500,15.48
437500,162500,16.4
447500,77500,7.87
7500,527500,6.33
307500,772500,12.63
67500,502500,8.15
262500,42500,7.72
387500,292500,14.63
597500,147500,11.48
107500,882500,3.77
127500,647500,5.89
397500,367500,22.6
382500,357500,18.87
547500,112500,9.68
417500,392500,37.6
537500,147500,11.63
532500,372500,12.31
267500,777500,10.8
382500,617500,19.71
602500,337500,9.2
212500,652500,9.87
452500,142500,15.18
192500,832500,6.35
462500,262500,13.13
512500,292500,9.91
387500,462500,19.27
587500,262500,12.49
392500,312500,14.94
377500,137500,19.77
357500,742500,9.97
392500,497500,25.81
392500,1137500,12.74
282500,757500,11.13
352500,1022500,7.56
482500,492500,20.89
582500,217500,9.51
452500,482500,18.86
377500,457500,26.3
427500,482500,17.57
347500,782500,25.07
362500,362500,12.23
507500,202500,13.58
262500,862500,3.2
382500,492500,30.49
197500,767500,11.56
382500,807500,13.24
527500,147500,13.88
422500,262500,10.82
572500,122500,13.37
372500,192500,12.65
377500,422500,27.58
242500,537500,11.51
127500,657500,7.01
202500,782500,8.99
377500,447500,17.8
347500,1027500,7.46
377500,392500,14.82
597500,202500,7.33
452500,137500,13.93
362500,767500,13.26
352500,812500,12.84
357500,617500,14.27
297500,767500,8.62
307500,932500,8.48
352500,552500,12.2
147500,747500,8.13
237500,537500,9.55
502500,282500,10.02
187500,757500,12.54
152500,742500,9.36
377500,127500,11.98
132500,737500,4.95
392500,667500,11.9
497500,402500,12.83
337500,827500,13.35
327500,262500,17.51
232500,897500,6.11
322500,727500,7.66
232500,957500,6.77
527500,252500,8.74
97500,897500,4.58
532500,382500,13.22
372500,77500,8.77
232500,102500,13.68
462500,222500,10.03
267500,62500,16.74
282500,102500,8.76
72500,832500,5.02
397500,232500,10.15
207500,697500,18.11
392500,632500,13.66
177500,857500,4.71
427500,412500,25.14
327500,542500,16.39
332500,192500,14.28
597500,322500,10.5
137500,752500,7.6
337500,232500,15.05
527500,152500,14.98
632500,252500,11.8
367500,242500,12.2
327500,192500,15.89
352500,532500,18.25
262500,632500,13.69
437500,397500,18.96
472500,302500,15.47
232500,52500,7.76
292500,667500,11.75
307500,947500,8.04
442500,217500,12.79
92500,852500,3.53
507500,102500,10.05
417500,377500,28.23
397500,242500,9.72
332500,282500,18.83
347500,407500,12.53
327500,467500,7.86
367500,1032500,6.98
332500,487500,15.39
382500,627500,12.33
167500,742500,13.98
262500,777500,11.61
552500,202500,9.42
237500,787500,9.29
547500,377500,10.67
202500,87500,7.57
362500,492500,16.56
87500,857500,3.5
242500,762500,13.68
452500,287500,13.06
407500,382500,28.87
147500,767500,6.19
437500,497500,12.63
252500,82500,15.78
362500,537500,12.6
387500,102500,13.58
302500,642500,11.83
432500,1137500,8.5
357500,377500,12.08
332500,697500,9.66
522500,337500,9.13
307500,372500,12.37
572500,272500,11.61
567500,272500,10.04
447500,337500,13.33
432500,282500,14.94
502500,102500,9.18
262500,97500,15.67
337500,242500,12.72
527500,397500,12.72
212500,567500,14.56
312500,372500,16.61
152500,552500,13.58
122500,852500,4.83
12500,512500,9.83
377500,562500,16.09
572500,307500,10.2
52500,527500,9.01
637500,292500,10.21
432500,262500,10.76
132500,952500,3.63
167500,847500,4.7
557500,102500,11.8
222500,772500,14.37
432500,432500,14.79
227500,897500,5.67
322500,682500,8.85
607500,292500,13.35
412500,352500,21.32
257500,832500,4.1
247500,182500,6.51
457500,322500,14.52
317500,87500,7.91
172500,222500,4.78
322500,752500,9.26
397500,82500,12.9
227500,672500,15.09
307500,827500,6.38
377500,317500,14.81
262500,797500,6.15
387500,662500,8.64
212500,47500,8.13
262500,927500,7.4
417500,1072500,6.71
567500,207500,10.56
287500,287500,20.87
207500,852500,7.58
292500,862500,3.66
407500,432500,29.35
192500,67500,9.81
192500,782500,10.26
357500,162500,13.4
442500,237500,14.82
352500,752500,12.12
187500,42500,11.05
582500,152500,10.94
412500,152500,9.97
492500,157500,15.13
397500,412500,25.41
417500,472500,25.92
307500,552500,8.62
442500,347500,14.94
527500,302500,8.36
367500,612500,16.24
302500,247500,16.61
572500,217500,9.35
147500,722500,7.89
462500,457500,11.85
627500,222500,9.13
522500,332500,8.69
257500,712500,15.68
277500,662500,8.73
262500,242500,14.49
322500,477500,9.24
252500,697500,14
267500,542500,10.05
327500,492500,16.06
512500,392500,14.69
252500,957500,8.31
247500,752500,16.21
232500,707500,19.25
502500,237500,13.54
302500,812500,8.13
257500,212500,16.09
87500,502500,7.65
372500,222500,16.81
437500,252500,10.88
177500,632500,13.21
462500,422500,11.5
257500,717500,17.39
382500,282500,14.07
457500,107500,12.76
202500,752500,10.88
272500,667500,8.56
347500,682500,5.15
337500,137500,8.22
287500,842500,6.87
382500,402500,15.17
332500,202500,20.58
322500,612500,24.99
362500,527500,15.07
497500,192500,14.6
442500,282500,10.76
587500,267500,12.02
347500,997500,7.09
267500,832500,5.19
317500,237500,13.86
147500,962500,3.84
482500,517500,12.53
507500,387500,10.99
567500,342500,8.88
237500,827500,6.13
352500,267500,10.14
257500,952500,8.39
412500,197500,9.95
312500,707500,11.81
327500,212500,20.04
187500,662500,12.36
412500,382500,27.72
557500,167500,11.29
382500,377500,13.47
347500,212500,15.56
352500,97500,12
307500,347500,15.17
47500,482500,4.89
532500,307500,7.22
222500,207500,7.95
352500,312500,12.77
302500,967500,6.31
117500,487500,12.16
402500,517500,15.82
142500,787500,4.69
367500,207500,15.81
282500,607500,21.47
347500,377500,10.62
442500,252500,12.8
492500,212500,13.06
232500,942500,9.1
272500,117500,11.88
542500,117500,14.68
412500,217500,14.33
372500,267500,13.55
452500,432500,11.35
382500,297500,11.28
237500,387500,8.55
437500,327500,13.48
387500,287500,14.1
367500,142500,15.39
297500,622500,20.26
322500,792500,15.18
312500,377500,11.02
597500,307500,11.89
377500,607500,23.59
397500,507500,26.37
357500,777500,25.57
397500,147500,11.53
162500,42500,9.58
302500,587500,14.99
517500,157500,15.71
122500,667500,8.24
457500,337500,14.18
277500,342500,17.82
407500,452500,18.82
92500,887500,3.67
382500,147500,15.17
392500,377500,18.29
622500,162500,8.45
192500,792500,11.12
102500,597500,7.62
352500,92500,7.21
492500,372500,12.8
402500,617500,15.95
377500,357500,14.96
392500,1142500,9.88
342500,222500,14.78
522500,182500,15.39
217500,727500,17.09
397500,182500,11.1
242500,897500,6.75
572500,222500,9.43
632500,147500,11.12
182500,637500,12.87
407500,137500,13.66
182500,752500,11.22
57500,782500,13.57
217500,247500,11.57
317500,692500,10.1
337500,247500,13.65
337500,437500,10.32
497500,432500,13.62
312500,822500,7.27
167500,612500,12.92
302500,782500,11.72
527500,257500,9.79
152500,957500,4.4
202500,222500,13.92
387500,387500,16.05
402500,297500,16.74
127500,587500,19.93
397500,117500,15.45
522500,392500,14.67
92500,507500,17.07
437500,332500,13.73
372500,857500,10.02
267500,837500,4.91
467500,362500,15.75
212500,232500,14.71
307500,562500,10.78
82500,487500,7.65
442500,77500,8.41
197500,757500,9.38
577500,207500,11.79
402500,467500,22.42
307500,922500,6.48
307500,257500,15.05
337500,587500,17.97
362500,177500,12.08
562500,227500,10.36
307500,952500,7.97
212500,862500,6.16
617500,142500,12.04
332500,267500,14.98
447500,317500,14.53
247500,867500,6.19
387500,817500,12.61
487500,242500,13.1
272500,382500,8.08
442500,1142500,12.81
327500,97500,12.53
252500,712500,16.95
172500,717500,8.65
447500,1187500,11.75
427500,112500,19.33
412500,372500,30.89
247500,567500,16.72
377500,262500,11.63
87500,557500,15.83
367500,497500,21.45
147500,37500,11.66
52500,517500,14.03
312500,247500,15.83
317500,137500,18.17
267500,677500,12.42
342500,392500,11.63
282500,142500,18.57
492500,217500,9.88
647500,287500,9.43
292500,137500,15.17
142500,767500,5.26
372500,622500,10.37
342500,992500,6.54
252500,762500,8.68
577500,147500,7.74
52500,512500,7.61
217500,777500,10.38
507500,302500,11.88
142500,557500,19.58
532500,287500,8.32
582500,347500,10.51
472500,312500,11.59
377500,192500,16.49
482500,387500,11.25
132500,32500,5.83
627500,312500,12.52
372500,272500,14.77
267500,357500,23.98
437500,347500,15.86
287500,902500,4.54
512500,417500,13.82
477500,282500,14.55
82500,532500,11.99
332500,792500,18.82
142500,717500,6.09
122500,917500,7.38
297500,742500,14.75
282500,342500,19.38
67500,487500,8.65
372500,552500,21.11
122500,512500,10.61
302500,562500,12.61
417500,497500,17.35
607500,272500,11.7
267500,267500,9.58
527500,282500,9.69
462500,107500,14.9
437500,357500,19.5
437500,1167500,9.61
217500,892500,7.07
277500,587500,21.28
377500,822500,11.81
182500,802500,7.64
212500,922500,4.18
242500,597500,26.84
267500,817500,7.29
382500,202500,17.26
517500,142500,15.68
317500,507500,15.95
507500,442500,14.25
392500,402500,17
447500,412500,13.16
382500,267500,11.77
442500,502500,12.33
557500,202500,9.75
372500,112500,13.21
222500,892500,5.29
87500,882500,3.81
387500,582500,15.67
507500,337500,9.92
267500,797500,5.19
437500,172500,12.89
372500,1037500,6.85
332500,647500,16.96
287500,877500,4.18
392500,352500,18.36
257500,957500,8.02
217500,82500,17.72
282500,577500,21.09
487500,287500,14.47
547500,357500,9.27
537500,207500,14.33
72500,807500,5.57
497500,407500,16.67
142500,662500,9.12
287500,837500,5.71
222500,682500,16.19
382500,827500,12.59
282500,307500,14.21
242500,72500,15.67
272500,367500,24.59
267500,592500,21.75
217500,937500,4.72
357500,307500,10.05
412500,837500,10.44
177500,882500,3.39
342500,857500,13.16
412500,327500,15.15
302500,952500,7.97
322500,102500,14.72
417500,147500,9.82
402500,207500,14.5
282500,222500,20.7
367500,382500,12.92
222500,232500,14.59
232500,682500,12.85
427500,262500,11.16
527500,197500,15.57
462500,482500,15.48
532500,147500,12.51
312500,167500,8.61
387500,417500,25.84
407500,527500,14.55
222500,52500,9.23
147500,772500,5.08
132500,727500,5.11
122500,847500,5.32
417500,632500,7.98
287500,567500,12.96
287500,347500,21.75
222500,242500,14.55
197500,62500,13.7
407500,292500,17.45
297500,102500,9.3
572500,112500,11.57
532500,237500,11.33
142500,702500,5.61
447500,242500,14.3
432500,302500,12.16
267500,127500,9.94
352500,232500,15.74
282500,917500,6.66
222500,767500,13.25
362500,647500,12.97
422500,1182500,7.19
347500,607500,21.68
632500,292500,10.4
437500,567500,11.38
257500,112500,12.45
247500,692500,12.36
322500,637500,20.76
582500,117500,11.78
432500,547500,11.26
417500,257500,10.03
357500,652500,12.83
372500,842500,11.61
612500,252500,13.84
157500,517500,10.42
422500,292500,12.47
237500,372500,7.72
467500,432500,11.02
387500,592500,18.45
492500,472500,16.82
352500,442500,14.76
297500,227500,21.86
412500,1162500,6.89
447500,497500,19.41
72500,512500,11
602500,297500,14.67
322500,552500,10.93
252500,122500,10.67
227500,807500,6.66
382500,522500,18.19
307500,777500,13.53
272500,822500,6.3
292500,202500,24.79
457500,1202500,9.73
487500,352500,11
197500,72500,10.49
272500,577500,20.3
482500,322500,12.03
132500,577500,20.56
272500,287500,11.64
462500,522500,12.35
502500,232500,11.78
372500,172500,11.03
207500,912500,3.12
82500,582500,7.57
77500,837500,4.79
372500,637500,8.22
542500,152500,14.84
442500,242500,13.92
447500,1147500,11.96
237500,727500,21.17
482500,477500,10.53
357500,237500,14.72
482500,217500,8.67
192500,847500,7.56
127500,862500,5.1
282500,772500,7.2
152500,747500,9.96
337500,627500,20.07
347500,587500,17.85
277500,122500,11.24
182500,22500,8.74
237500,737500,20.48
287500,587500,18.23
417500,297500,13.47
252500,792500,6.64
302500,767500,10.83
457500,512500,15.89
42500,517500,8.26
322500,857500,8.29
437500,147500,14.03
387500,302500,13.37
312500,507500,12.69
392500,307500,17.51
262500,957500,7
572500,107500,11.88
392500,582500,17.01
272500,307500,16.6
262500,817500,6.98
322500,562500,10.16
357500,822500,14.37
287500,317500,21.3
247500,897500,7.53
387500,617500,21.01
212500,877500,7.52
147500,562500,15.52
132500,907500,4.56
342500,137500,9.33
322500,937500,7.56
487500,337500,11.31
382500,417500,25.16
402500,192500,12.06
442500,97500,9.82
217500,107500,6.99
477500,117500,15.98
622500,322500,12.86
327500,177500,9.37
452500,422500,12.1
407500,477500,29.21
387500,487500,31.72
192500,802500,9.26
117500,947500,4.98
227500,662500,13.24
372500,72500,7.34
272500,752500,12.98
407500,567500,8.6
382500,127500,11.32
617500,147500,15.83
307500,332500,24.67
237500,887500,8.24
592500,167500,9.76
592500,337500,9.41
407500,512500,18.92
497500,147500,13.17
347500,87500,6.91
357500,677500,6.7
367500,627500,9.03
602500,157500,11.95
527500,237500,10.38
27500,522500,7.18
352500,547500,13.1
432500,522500,9.52
617500,162500,13.51
602500,277500,15.67
637500,277500,10.82
137500,642500,5.93
647500,317500,9.52
357500,212500,20.85
562500,157500,14.42
512500,242500,11.03
417500,612500,12.83
342500,622500,19.16
412500,622500,11.96
432500,1187500,12.01
562500,137500,13.72
372500,167500,12.25
247500,812500,6.61
252500,862500,4.94
312500,777500,14.32
227500,227500,15.81
187500,642500,13.71
492500,437500,15.05
367500,442500,18.99
382500,92500,15.21
292500,307500,16.71
217500,232500,15.39
277500,717500,17.88
117500,592500,8.98
527500,287500,8.15
467500,187500,16.4
397500,392500,19.75
412500,342500,16.78
277500,222500,19.38
487500,347500,10.32
312500,572500,12.79
377500,657500,12.07
277500,152500,13.28
222500,872500,7.01
197500,552500,9.75
297500,777500,9.98
437500,1132500,10.5
377500,237500,11.75
422500,592500,8.63
457500,247500,13.91
232500,597500,19.74
542500,142500,13.95
297500,717500,9.76
322500,392500,8.31
277500,132500,11.58
122500,602500,9.17
322500,87500,7.26
472500,507500,21.18
277500,232500,13.58
247500,57500,9.76
382500,192500,14.97
552500,212500,10.25
317500,662500,14.83
457500,152500,13.96
252500,107500,12.29
347500,137500,7.78
17500,512500,12.29
337500,297500,16.42
317500,227500,21.65
242500,477500,7.98
312500,747500,9.71
377500,597500,27.63
522500,272500,10.63
267500,882500,5.56
57500,787500,4.93
437500,437500,13.21
87500,492500,8.68
332500,277500,17.08
397500,172500,12.72
252500,657500,13.09
232500,562500,14.95
352500,342500,11.97
257500,702500,13.45
257500,117500,11.45
507500,147500,16.56
507500,272500,9.34
302500,687500,7.71
357500,542500,11.2
422500,547500,13.12
227500,902500,5.93
292500,117500,13.65
362500,562500,15.33
227500,372500,6.71
167500,632500,10.51
262500,302500,6.16
267500,202500,12.09
552500,227500,11.88
122500,572500,12.49
267500,212500,15.62
387500,572500,12.31
332500,347500,13.86
277500,957500,5.55
572500,227500,10.6
282500,652500,10.79
202500,817500,9.76
607500,267500,11.93
322500,797500,10.6
