Easting,Northing,NO2_NO3,NH3_NH4,SO2_SO4_NM
657500,297500,0.58,0.68,0.22
502500,327500,0.72,1.42,0.31
562500,97500,0.57,0.63,0.23
317500,87500,0.43,0.9,0.19
367500,742500,0.33,0.6,0.21
262500,127500,0.47,1.57,0.24
147500,867500,0.25,0.29,0.18
207500,752500,0.46,0.55,0.35
342500,412500,0.44,1.4,0.32
172500,632500,0.41,0.77,0.25
132500,832500,0.28,0.29,0.2
372500,107500,0.6,2.56,0.3
127500,577500,0.44,1.93,0.25
502500,182500,0.72,1.18,0.28
527500,172500,0.7,1.38,0.23
572500,327500,0.67,1.18,0.31
587500,252500,0.69,1.39,0.28
272500,822500,0.36,0.3,0.2
467500,157500,0.67,1.33,0.28
297500,662500,0.44,1.42,0.28
497500,462500,0.63,1.92,0.45
397500,282500,0.74,1.62,0.35
387500,267500,0.53,1.42,0.28
242500,937500,0.49,0.49,0.32
307500,722500,0.35,0.94,0.21
497500,287500,0.75,1.36,0.31
312500,812500,0.63,0.58,0.37
287500,622500,0.5,1.09,0.32
417500,247500,0.54,1.52,0.26
212500,322500,0.3,0.4,0.17
477500,352500,0.68,1.83,0.36
132500,497500,0.43,3.25,0.23
172500,202500,0.33,0.33,0.18
372500,492500,0.95,1.69,0.72
202500,42500,0.39,0.81,0.21
482500,372500,0.64,1.91,0.37
282500,287500,0.75,1.17,0.47
87500,502500,0.27,2.81,0.15
557500,182500,0.67,1.33,0.3
347500,787500,1.02,1.05,0.59
372500,857500,0.33,1.18,0.17
307500,352500,0.56,1.42,0.36
217500,772500,0.75,0.78,0.58
382500,172500,0.56,1.52,0.24
397500,77500,0.5,0.98,0.23
487500,437500,0.54,1.63,0.4
67500,512500,0.34,1.87,0.21
47500,562500,0.23,1.41,0.2
277500,132500,0.66,1.27,0.33
352500,847500,0.33,0.88,0.18
132500,797500,0.32,0.36,0.23
172500,892500,0.19,0.14,0.11
377500,102500,0.63,1.82,0.3
327500,252500,0.53,1.59,0.29
377500,142500,0.56,1.85,0.25
317500,997500,0.28,0.42,0.16
417500,117500,0.59,1.11,0.27
472500,407500,0.59,1.83,0.41
367500,392500,0.57,1.71,0.53
527500,192500,0.78,1.23,0.26
282500,752500,0.51,0.56,0.3
307500,82500,0.37,0.87,0.17
277500,572500,0.37,1.4,0.25
497500,192500,0.76,1.14,0.28
437500,137500,0.6,1.47,0.27
142500,27500,0.42,1.34,0.23
257500,252500,0.47,1.37,0.31
282500,717500,0.48,0.81,0.31
132500,677500,0.27,0.37,0.17
387500,837500,0.36,1.34,0.2
422500,452500,0.68,1.7,0.47
317500,762500,0.5,0.62,0.29
437500,552500,0.54,1.63,0.36
452500,392500,0.71,1.69,0.58
177500,647500,0.36,0.65,0.23
362500,617500,0.5,1.25,0.31
382500,262500,0.52,1.44,0.28
247500,267500,0.32,0.48,0.2
207500,857500,0.36,0.32,0.25
442500,322500,0.73,2,0.39
177500,212500,0.33,0.39,0.18
457500,207500,0.66,1.28,0.24
342500,407500,0.47,1.53,0.32
362500,792500,0.77,1.12,0.44
352500,417500,0.53,2.24,0.38
267500,732500,0.61,0.7,0.37
362500,1042500,0.29,0.36,0.16
157500,847500,0.24,0.23,0.18
192500,62500,0.5,1.34,0.3
262500,342500,0.39,0.81,0.27
217500,867500,0.35,0.3,0.22
297500,837500,0.32,0.35,0.17
367500,132500,0.48,2.59,0.22
182500,52500,0.48,1.52,0.27
312500,527500,0.39,1.7,0.3
372500,112500,0.52,2.29,0.25
372500,357500,0.52,3.17,0.43
327500,512500,1.08,1.91,0.9
177500,712500,0.29,0.48,0.21
357500,457500,0.71,1.49,0.47
362500,802500,0.49,1.04,0.28
387500,82500,0.49,0.92,0.22
417500,562500,0.47,1.61,0.32
267500,727500,0.67,0.78,0.42
297500,137500,0.72,1.42,0.36
462500,357500,0.76,2.39,0.44
282500,592500,0.46,1.32,0.32
327500,142500,0.43,2,0.22
517500,147500,0.71,1.19,0.31
577500,127500,0.61,1.19,0.27
242500,772500,0.55,0.52,0.36
277500,787500,0.53,0.42,0.31
282500,757500,0.45,0.47,0.27
167500,637500,0.32,0.73,0.19
532500,307500,0.61,1.47,0.33
122500,602500,0.28,1.14,0.16
172500,227500,0.33,0.51,0.16
212500,942500,0.2,0.23,0.11
387500,822500,0.42,1.55,0.24
387500,252500,0.58,1.6,0.31
497500,502500,0.61,0.99,0.38
82500,547500,0.4,1.32,0.24
322500,747500,0.32,0.96,0.19
242500,497500,0.46,0.77,0.28
167500,627500,0.32,0.89,0.2
382500,482500,1.12,1.73,0.83
267500,197500,0.49,1.17,0.33
187500,627500,0.27,0.49,0.16
277500,622500,0.54,1.04,0.36
587500,147500,0.65,1.26,0.25
237500,187500,0.37,0.41,0.18
357500,812500,0.44,1.06,0.24
397500,107500,0.54,2.45,0.25
432500,442500,0.6,1.51,0.42
487500,187500,0.69,1.23,0.27
627500,172500,0.64,0.52,0.22
607500,347500,0.58,0.66,0.27
292500,647500,0.36,1.43,0.22
367500,497500,0.83,1.55,0.63
497500,447500,0.62,2.19,0.45
307500,317500,0.64,1.37,0.38
447500,132500,0.64,1.48,0.26
307500,267500,0.56,1.42,0.32
222500,892500,0.29,0.25,0.17
522500,162500,0.7,1.16,0.27
192500,677500,0.34,0.6,0.23
297500,857500,0.18,0.49,0.09
622500,162500,0.69,1.01,0.26
252500,227500,0.49,1.42,0.31
637500,172500,0.67,0.66,0.24
382500,852500,0.41,1.58,0.21
422500,212500,0.66,1.56,0.28
307500,717500,0.45,1.02,0.3
202500,827500,0.39,0.35,0.29
237500,607500,0.41,1.49,0.28
462500,487500,0.66,2,0.43
152500,772500,0.24,0.27,0.18
497500,202500,0.83,1.45,0.33
382500,307500,0.57,1.68,0.28
422500,327500,0.64,2.23,0.36
427500,292500,0.74,1.98,0.35
102500,512500,0.27,2.73,0.19
102500,547500,0.33,3.01,0.24
257500,267500,0.42,1.29,0.26
502500,422500,0.66,1.86,0.52
357500,337500,0.48,2.92,0.27
282500,47500,0.49,1.23,0.24
437500,1147500,0.39,0.46,0.22
297500,912500,0.25,0.27,0.12
207500,817500,0.52,0.48,0.4
382500,132500,0.59,2.09,0.25
302500,222500,1.05,1.54,0.68
322500,782500,1.15,1.1,0.75
337500,137500,0.4,2.33,0.2
477500,462500,0.62,2.48,0.45
182500,62500,0.4,0.81,0.22
242500,732500,0.73,0.85,0.49
412500,642500,0.35,0.51,0.2
237500,102500,0.53,1.67,0.28
387500,662500,0.42,1.11,0.23
607500,287500,0.63,2.61,0.28
257500,132500,0.47,1.56,0.28
502500,452500,0.59,2.23,0.43
387500,862500,0.37,0.99,0.19
392500,807500,0.51,1.2,0.32
307500,857500,0.23,0.7,0.11
347500,722500,0.34,0.64,0.23
412500,397500,1.45,1.87,0.95
422500,222500,0.69,1.54,0.3
437500,562500,0.49,1.17,0.34
297500,337500,0.67,1.41,0.45
347500,667500,0.38,1.13,0.23
417500,292500,0.79,2.05,0.36
457500,407500,0.61,1.53,0.52
477500,347500,0.65,1.61,0.33
587500,332500,0.68,1.38,0.32
302500,117500,0.54,2.26,0.26
372500,392500,0.56,1.53,0.45
207500,67500,0.59,1.48,0.34
352500,127500,0.44,1.78,0.22
372500,202500,0.53,1.84,0.27
297500,212500,0.87,1.22,0.56
57500,497500,0.29,1.44,0.17
137500,782500,0.21,0.22,0.14
397500,597500,0.61,0.97,0.35
342500,757500,0.4,0.97,0.24
362500,797500,0.66,1.01,0.38
437500,287500,0.73,1.83,0.34
357500,147500,0.56,2.45,0.26
352500,622500,0.47,1.25,0.29
392500,447500,0.78,2.25,0.57
342500,557500,0.31,2.16,0.22
507500,152500,0.67,1.1,0.27
257500,682500,0.5,0.88,0.32
197500,897500,0.19,0.15,0.11
392500,562500,0.46,1.26,0.28
347500,467500,0.43,1.21,0.3
402500,822500,0.31,0.54,0.15
462500,457500,0.52,2.06,0.37
402500,147500,0.61,1.31,0.25
652500,317500,0.57,0.73,0.22
572500,337500,0.64,1.12,0.29
632500,252500,0.65,1.37,0.28
87500,837500,0.24,0.19,0.17
72500,827500,0.21,0.26,0.14
487500,422500,0.58,1.21,0.42
272500,317500,0.54,1.08,0.38
97500,747500,0.2,0.35,0.12
327500,477500,0.43,1.77,0.33
217500,472500,0.34,0.5,0.17
332500,557500,0.26,2.09,0.18
287500,52500,0.51,1.2,0.26
332500,542500,0.46,2.19,0.33
337500,1022500,0.34,0.71,0.2
252500,252500,0.48,1.47,0.33
232500,122500,0.58,1.65,0.32
332500,247500,0.51,1.85,0.3
387500,77500,0.45,0.62,0.2
297500,252500,0.56,1.22,0.33
302500,227500,0.71,1.41,0.46
352500,537500,0.41,1.86,0.29
242500,847500,0.29,0.26,0.17
327500,467500,0.38,0.77,0.28
507500,272500,0.7,1.53,0.27
187500,857500,0.29,0.26,0.21
437500,222500,0.73,1.49,0.31
582500,287500,0.62,1.05,0.28
392500,502500,1.19,1.74,0.86
332500,942500,0.24,0.65,0.12
152500,672500,0.39,0.61,0.26
542500,252500,0.62,1.25,0.24
522500,197500,0.83,1.35,0.28
277500,757500,0.45,0.5,0.28
372500,227500,0.55,1.77,0.31
407500,392500,1.17,1.67,0.76
377500,782500,0.57,1.27,0.32
237500,207500,0.38,1.01,0.22
372500,137500,0.53,2.22,0.23
252500,672500,0.36,1.1,0.24
197500,712500,0.43,0.64,0.33
62500,502500,0.36,1.26,0.21
432500,167500,0.69,1.34,0.27
462500,102500,0.62,0.92,0.35
477500,322500,0.73,1.97,0.31
122500,947500,0.21,0.23,0.14
287500,367500,0.56,1.63,0.39
362500,312500,0.49,1.75,0.26
367500,627500,0.37,1.1,0.22
422500,307500,0.66,1.79,0.35
187500,687500,0.36,0.66,0.28
222500,967500,0.22,0.23,0.14
432500,477500,0.54,3.98,0.4
362500,812500,0.46,0.94,0.25
432500,577500,0.46,0.92,0.35
447500,277500,0.67,2.24,0.27
502500,357500,0.69,1.54,0.33
287500,832500,0.38,0.33,0.2
357500,352500,0.47,3.26,0.28
202500,752500,0.39,0.45,0.28
332500,992500,0.26,0.39,0.14
277500,827500,0.31,0.28,0.16
362500,637500,0.42,1.28,0.25
417500,337500,0.65,2.72,0.34
342500,132500,0.4,1.99,0.19
562500,242500,0.73,1.58,0.3
412500,592500,0.46,1.18,0.29
242500,192500,0.41,0.68,0.22
157500,537500,0.4,2.12,0.32
557500,277500,0.6,1.43,0.26
332500,722500,0.35,0.74,0.25
132500,487500,0.54,2.79,0.32
287500,257500,0.83,1.21,0.52
237500,842500,0.3,0.26,0.18
357500,297500,0.54,1.97,0.27
267500,72500,0.95,1.44,0.54
387500,657500,0.39,1.23,0.22
37500,557500,0.27,0.97,0.2
97500,867500,0.19,0.13,0.11
312500,657500,0.56,0.97,0.36
342500,727500,0.35,0.84,0.24
167500,47500,0.44,0.69,0.26
347500,742500,0.45,1.12,0.28
432500,257500,0.64,2.06,0.26
482500,272500,0.78,1.5,0.32
217500,932500,0.25,0.22,0.15
327500,842500,0.36,0.64,0.2
232500,57500,0.48,1.16,0.24
322500,847500,0.33,0.44,0.18
397500,437500,1.06,1.72,0.78
227500,232500,0.52,1.95,0.36
352500,677500,0.34,1.15,0.21
507500,467500,0.61,1.91,0.43
267500,782500,0.57,0.47,0.33
137500,867500,0.24,0.33,0.17
227500,467500,0.32,0.47,0.15
262500,837500,0.18,0.31,0.1
387500,617500,0.9,1.28,0.53
252500,752500,0.6,0.63,0.39
342500,797500,0.55,0.67,0.32
292500,372500,0.48,1.4,0.31
442500,527500,0.46,1.58,0.34
262500,82500,1.17,1.54,0.67
452500,1202500,0.37,0.42,0.21
537500,252500,0.63,1.29,0.24
52500,542500,0.29,2.01,0.19
357500,382500,0.53,1.56,0.47
372500,662500,0.56,1.06,0.31
357500,162500,0.59,1.93,0.31
237500,197500,0.38,0.48,0.2
522500,402500,0.71,1.38,0.41
347500,472500,0.4,1.02,0.28
567500,137500,0.67,1.02,0.3
367500,147500,0.61,2.39,0.31
477500,207500,0.65,1.46,0.25
197500,52500,0.5,1.49,0.3
117500,517500,0.33,2.2,0.44
462500,507500,0.83,1.42,0.54
487500,362500,0.65,2.14,0.35
597500,322500,0.66,1.56,0.3
282500,237500,0.52,0.98,0.31
457500,192500,0.62,1.74,0.22
212500,887500,0.34,0.34,0.23
492500,482500,0.54,1.76,0.36
327500,307500,0.52,1.75,0.28
382500,437500,0.71,2.18,0.53
232500,112500,0.52,2,0.27
202500,217500,0.43,1.64,0.32
427500,457500,0.62,2.43,0.45
297500,322500,0.88,1.4,0.56
97500,737500,0.19,0.22,0.12
317500,857500,0.27,0.75,0.14
492500,202500,0.83,1.34,0.33
557500,257500,0.66,1.36,0.27
557500,367500,0.63,1.18,0.29
597500,137500,0.65,1.12,0.25
282500,552500,0.33,1.02,0.21
227500,692500,0.57,0.82,0.41
277500,642500,0.46,1.92,0.32
182500,762500,0.36,0.48,0.31
282500,887500,0.17,0.22,0.09
322500,547500,0.31,2.64,0.24
447500,232500,0.72,1.67,0.29
312500,782500,0.76,0.72,0.48
292500,762500,0.42,0.49,0.24
227500,962500,0.27,0.26,0.16
437500,247500,0.69,1.64,0.29
342500,782500,0.99,1.03,0.59
217500,802500,0.34,0.34,0.26
307500,102500,0.43,3.39,0.21
367500,772500,0.45,1.17,0.26
252500,367500,0.38,1.14,0.25
432500,502500,0.43,2.27,0.29
447500,392500,0.73,1.89,0.56
257500,642500,0.39,1.05,0.26
127500,487500,0.48,3.27,0.3
427500,187500,0.68,1.69,0.26
582500,187500,0.72,1.04,0.35
452500,462500,0.47,2.56,0.33
532500,402500,0.65,1.32,0.38
152500,42500,0.47,0.6,0.26
177500,657500,0.27,0.49,0.16
512500,112500,0.64,1.2,0.3
187500,212500,0.38,1.09,0.26
132500,582500,0.54,1.41,0.31
292500,752500,0.42,0.62,0.26
392500,482500,1.26,1.92,0.93
192500,197500,0.39,0.96,0.23
262500,547500,0.31,1.53,0.17
432500,92500,0.47,0.71,0.23
162500,752500,0.36,0.48,0.28
342500,467500,0.4,0.68,0.31
437500,1137500,0.4,0.46,0.23
92500,582500,0.37,1.3,0.22
132500,657500,0.26,0.52,0.16
202500,912500,0.17,0.14,0.09
227500,52500,0.43,0.73,0.22
97500,502500,0.33,3.43,0.23
262500,282500,0.33,0.88,0.19
337500,412500,0.42,1.18,0.29
297500,517500,0.33,0.96,0.19
377500,807500,0.52,1.1,0.3
362500,512500,0.81,1.97,0.65
407500,167500,0.64,1.95,0.24
427500,462500,0.65,2.7,0.49
577500,297500,0.59,1.4,0.27
642500,252500,0.61,1.28,0.26
647500,327500,0.58,0.66,0.25
267500,787500,0.36,0.3,0.2
282500,782500,0.68,0.55,0.4
507500,392500,0.65,1.52,0.36
82500,807500,0.2,0.2,0.13
342500,997500,0.25,0.3,0.13
472500,277500,0.8,1.67,0.32
292500,237500,0.71,1.14,0.43
482500,277500,0.77,1.56,0.32
177500,672500,0.35,0.55,0.22
92500,882500,0.19,0.18,0.12
597500,232500,0.68,1.31,0.29
447500,1207500,0.31,0.3,0.16
487500,137500,0.75,1.04,0.36
117500,762500,0.21,0.22,0.13
97500,522500,0.29,2.53,0.22
392500,142500,0.65,1.62,0.29
412500,282500,0.82,1.52,0.37
417500,167500,0.66,1.5,0.25
237500,57500,0.44,1.04,0.22
372500,467500,0.8,2.03,0.62
492500,302500,0.72,1.43,0.31
547500,297500,0.58,1.21,0.27
362500,642500,0.45,1.36,0.26
592500,287500,0.61,1.71,0.27
122500,577500,0.35,2.98,0.21
282500,642500,0.43,1.92,0.29
227500,222500,0.46,1.73,0.32
302500,952500,0.31,0.34,0.18
397500,422500,1,1.63,0.73
157500,502500,0.39,2.09,0.23
317500,747500,0.34,0.81,0.2
287500,572500,0.35,2.07,0.22
442500,1157500,0.53,0.57,0.31
362500,1047500,0.28,0.26,0.15
572500,322500,0.64,1.24,0.31
147500,37500,0.54,1.12,0.31
97500,932500,0.24,0.22,0.17
242500,932500,0.51,0.51,0.33
307500,87500,0.39,2.02,0.18
257500,667500,0.44,1.24,0.28
117500,592500,0.26,2.49,0.15
307500,552500,0.26,0.65,0.18
322500,337500,0.71,1.62,0.44
387500,437500,0.78,1.92,0.61
402500,322500,0.64,2.13,0.35
492500,257500,0.71,1.52,0.28
492500,452500,0.65,1.94,0.48
497500,297500,0.73,1.25,0.31
537500,112500,0.62,1.14,0.28
292500,222500,0.91,1.44,0.59
392500,312500,0.65,2.38,0.34
307500,122500,0.52,1.94,0.26
117500,542500,0.27,1.76,0.16
342500,722500,0.36,0.98,0.25
237500,92500,0.53,1.84,0.28
277500,367500,0.67,1.41,0.51
472500,192500,0.79,1.19,0.29
502500,387500,0.64,1.68,0.35
302500,302500,0.64,1.31,0.39
307500,542500,0.29,1.1,0.22
372500,772500,0.47,1.28,0.27
402500,102500,0.55,1.5,0.27
362500,102500,0.62,1.96,0.29
492500,272500,0.75,2.14,0.34
307500,517500,0.42,1.34,0.31
297500,577500,0.36,1.74,0.26
592500,307500,0.68,2.04,0.3
87500,912500,0.21,0.18,0.15
362500,507500,0.74,1.9,0.6
217500,702500,0.56,0.79,0.41
297500,327500,1.09,1.71,0.71
312500,762500,0.46,0.58,0.26
372500,192500,0.55,1.9,0.26
557500,217500,0.7,1.22,0.28
432500,112500,0.6,1.13,0.3
357500,427500,0.55,2.16,0.37
542500,287500,0.6,1.27,0.27
302500,562500,0.32,0.81,0.22
207500,537500,0.36,0.79,0.16
247500,372500,0.35,1.28,0.23
322500,142500,0.48,2.46,0.26
402500,502500,0.86,1.36,0.59
522500,102500,0.53,0.58,0.25
277500,252500,0.67,1.02,0.43
362500,112500,0.54,2.1,0.27
437500,497500,0.46,3.02,0.31
182500,877500,0.24,0.22,0.15
312500,702500,0.45,1.25,0.38
332500,697500,0.38,1.13,0.28
397500,172500,0.55,1.99,0.23
442500,272500,0.66,1.88,0.27
72500,522500,0.33,2.19,0.19
302500,92500,0.45,2.09,0.22
202500,702500,0.41,0.62,0.3
342500,622500,0.6,1.06,0.37
152500,852500,0.28,0.27,0.21
522500,467500,0.52,0.89,0.34
417500,302500,0.7,1.71,0.38
422500,1187500,0.29,0.25,0.16
412500,582500,0.44,1.37,0.28
77500,817500,0.23,0.26,0.14
157500,767500,0.3,0.34,0.22
107500,497500,0.4,3.23,0.25
562500,222500,0.69,1.29,0.27
627500,167500,0.66,0.93,0.23
622500,237500,0.66,1.08,0.31
232500,837500,0.31,0.26,0.19
447500,377500,0.79,1.72,0.56
347500,297500,0.54,1.96,0.27
312500,307500,0.49,1.54,0.3
552500,197500,0.72,1.28,0.26
607500,247500,0.65,1.54,0.28
482500,382500,0.65,1.65,0.4
167500,827500,0.25,0.25,0.21
217500,852500,0.36,0.3,0.23
132500,742500,0.22,0.28,0.14
442500,1107500,0.3,0.53,0.16
492500,462500,0.73,1.88,0.52
442500,252500,0.73,1.76,0.32
122500,517500,0.35,2.69,0.33
92500,747500,0.2,0.25,0.12
447500,242500,0.74,1.89,0.38
277500,362500,0.7,1.37,0.52
417500,217500,0.67,1.36,0.29
472500,387500,0.61,1.5,0.38
442500,392500,0.77,1.57,0.66
112500,897500,0.26,0.25,0.19
302500,632500,0.48,1.2,0.29
447500,1162500,0.42,0.48,0.24
547500,127500,0.65,0.93,0.29
112500,552500,0.29,2.03,0.23
127500,547500,0.31,2.35,0.21
177500,747500,0.39,0.5,0.32
182500,212500,0.36,0.67,0.21
482500,407500,0.6,1.59,0.42
322500,137500,0.47,2.26,0.23
502500,297500,0.73,1.36,0.31
417500,322500,0.62,2.07,0.32
417500,492500,0.63,1.78,0.44
442500,1177500,0.45,0.42,0.27
137500,907500,0.2,0.16,0.13
452500,187500,0.68,1.74,0.25
47500,502500,0.23,1.8,0.16
317500,927500,0.19,0.36,0.1
62500,807500,0.22,0.23,0.14
232500,702500,0.56,0.77,0.4
352500,317500,0.44,2.19,0.24
372500,837500,0.39,1.3,0.21
407500,552500,0.57,1.33,0.39
537500,382500,0.74,1.79,0.37
437500,227500,0.72,1.73,0.3
227500,62500,0.56,1.92,0.3
407500,497500,0.76,1.56,0.52
552500,262500,0.62,1.36,0.26
497500,137500,0.66,0.92,0.31
462500,442500,0.51,1.64,0.42
352500,1042500,0.29,0.47,0.16
82500,552500,0.52,1.35,0.31
217500,537500,0.36,0.78,0.17
357500,217500,0.57,1.5,0.33
207500,57500,0.51,1.53,0.3
237500,752500,0.54,0.59,0.38
327500,507500,0.89,1.54,0.72
297500,62500,0.42,0.58,0.21
127500,727500,0.2,0.24,0.12
277500,72500,0.8,1.66,0.47
477500,287500,0.79,1.57,0.33
137500,792500,0.32,0.38,0.22
197500,77500,0.4,1.34,0.22
2500,512500,0.28,0.96,0.19
442500,507500,0.45,2.22,0.31
162500,557500,0.35,1.09,0.23
232500,492500,0.38,0.59,0.2
462500,1187500,0.42,0.54,0.24
347500,342500,0.43,2.38,0.25
592500,327500,0.68,1.87,0.32
262500,877500,0.3,0.31,0.17
302500,147500,0.46,0.68,0.25
282500,687500,0.45,1.31,0.36
642500,272500,0.63,1.99,0.28
117500,492500,0.39,3.16,0.24
427500,322500,0.67,2.09,0.42
392500,397500,0.71,1.55,0.5
342500,332500,0.45,2.21,0.25
412500,852500,0.32,0.56,0.15
312500,607500,0.52,1,0.32
207500,767500,0.35,0.4,0.28
262500,557500,0.39,1.28,0.24
272500,927500,0.37,0.37,0.22
297500,847500,0.25,0.47,0.13
242500,532500,0.32,0.71,0.16
232500,967500,0.3,0.32,0.19
492500,192500,0.75,1.28,0.28
627500,317500,0.63,1.52,0.29
287500,47500,0.46,0.79,0.22
227500,587500,0.51,1.12,0.35
207500,842500,0.48,0.41,0.35
212500,877500,0.39,0.35,0.26
542500,347500,0.64,1.16,0.3
587500,282500,0.66,2.22,0.3
452500,222500,0.66,1.82,0.25
262500,807500,0.57,0.4,0.33
272500,117500,0.51,1.55,0.25
462500,392500,0.64,1.42,0.46
497500,247500,0.68,1.49,0.26
347500,432500,0.46,2.53,0.31
217500,107500,0.38,0.5,0.18
422500,207500,0.62,1.41,0.26
167500,852500,0.24,0.22,0.17
232500,572500,0.42,1,0.28
207500,542500,0.35,1.01,0.16
342500,562500,0.28,2,0.19
537500,317500,0.61,1.5,0.28
377500,427500,0.92,2.02,0.72
302500,947500,0.33,0.35,0.19
377500,347500,0.6,2.69,0.35
257500,82500,1.04,1.48,0.58
412500,162500,0.66,1.83,0.26
407500,107500,0.55,1.21,0.27
292500,357500,0.73,1.35,0.48
452500,517500,0.49,1.36,0.36
337500,1047500,0.27,0.62,0.15
472500,467500,0.56,1.67,0.4
287500,112500,0.52,2.02,0.25
322500,347500,0.72,1.35,0.43
392500,437500,0.91,1.75,0.69
372500,817500,0.42,1.12,0.24
412500,342500,0.69,2.33,0.39
552500,192500,0.69,1.19,0.26
352500,327500,0.46,2.53,0.25
387500,367500,0.57,2.42,0.37
317500,627500,0.84,1.34,0.52
127500,902500,0.2,0.17,0.13
237500,787500,0.52,0.46,0.34
442500,332500,0.7,1.71,0.38
592500,227500,0.69,1.33,0.3
237500,247500,0.5,1.59,0.35
287500,302500,0.54,1.2,0.35
407500,172500,0.66,1.84,0.26
587500,272500,0.63,1.82,0.26
477500,382500,0.64,1.72,0.38
142500,867500,0.3,0.31,0.2
252500,877500,0.32,0.3,0.18
477500,377500,0.66,1.8,0.42
272500,737500,0.68,0.78,0.42
232500,792500,0.41,0.39,0.28
172500,757500,0.39,0.49,0.31
297500,952500,0.31,0.32,0.18
272500,87500,0.89,1.74,0.52
447500,147500,0.63,1.36,0.24
272500,372500,0.82,1.35,0.58
397500,212500,0.77,1.56,0.35
317500,672500,0.45,1.86,0.27
457500,512500,0.57,1.62,0.38
252500,257500,0.44,1.36,0.36
482500,262500,0.75,1.79,0.3
282500,102500,0.44,2.07,0.22
532500,297500,0.62,1.43,0.32
382500,652500,0.4,1.27,0.23
457500,107500,0.58,1.21,0.34
407500,112500,0.54,1.25,0.24
527500,387500,0.77,1.62,0.38
172500,762500,0.33,0.43,0.28
302500,767500,0.55,0.54,0.32
342500,1032500,0.32,0.44,0.18
142500,782500,0.2,0.2,0.13
422500,107500,0.58,0.85,0.26
297500,732500,0.48,0.66,0.28
472500,522500,0.47,0.69,0.34
317500,342500,0.73,1.51,0.46
332500,237500,0.7,1.64,0.41
217500,892500,0.34,0.31,0.23
27500,512500,0.26,1.34,0.18
122500,477500,0.45,2.1,0.29
292500,207500,0.81,1.28,0.57
317500,512500,0.78,1.32,0.58
532500,387500,0.71,2.04,0.37
352500,657500,0.61,0.96,0.35
422500,132500,0.61,1.72,0.27
542500,147500,0.64,1.23,0.28
332500,262500,0.52,1.65,0.29
502500,127500,0.64,1.28,0.31
277500,177500,0.4,0.46,0.21
532500,377500,0.78,1.6,0.37
342500,747500,0.45,1.17,0.3
342500,827500,0.58,0.7,0.32
202500,647500,0.46,0.81,0.35
482500,232500,0.73,1.73,0.28
337500,512500,1.19,2.14,1.02
322500,507500,0.97,1.6,0.76
492500,267500,0.73,1.89,0.31
517500,212500,0.79,1.24,0.27
607500,167500,0.67,0.62,0.24
272500,692500,0.5,0.95,0.35
297500,942500,0.32,0.34,0.18
327500,222500,0.71,1.26,0.4
222500,237500,0.53,1.72,0.39
327500,237500,0.91,1.6,0.53
207500,897500,0.23,0.19,0.15
277500,962500,0.24,0.26,0.14
317500,712500,0.47,1.98,0.34
342500,842500,0.44,0.83,0.25
377500,292500,0.55,1.64,0.3
287500,767500,0.34,0.47,0.19
372500,262500,0.54,1.36,0.28
277500,77500,0.8,1.38,0.45
332500,612500,0.69,1.13,0.43
357500,597500,0.62,1.07,0.39
462500,382500,0.65,1.63,0.42
382500,222500,0.52,1.86,0.27
532500,137500,0.73,1.16,0.33
322500,812500,0.63,0.6,0.36
192500,837500,0.26,0.24,0.19
407500,232500,0.7,1.4,0.3
297500,77500,0.46,0.88,0.22
377500,312500,0.58,2.08,0.3
522500,342500,0.64,1.6,0.29
357500,252500,0.5,2.21,0.25
242500,657500,0.39,1.31,0.27
242500,637500,0.31,1.82,0.2
392500,592500,0.61,1.15,0.37
347500,612500,0.52,1.25,0.33
277500,967500,0.2,0.2,0.11
147500,582500,0.44,1.1,0.28
237500,822500,0.36,0.28,0.21
292500,302500,0.61,1.24,0.39
222500,57500,0.51,1.37,0.28
272500,852500,0.15,0.25,0.08
282500,132500,0.71,1.22,0.36
327500,942500,0.28,0.38,0.15
297500,962500,0.28,0.38,0.16
317500,302500,0.43,1.57,0.25
222500,117500,0.43,1.11,0.21
192500,872500,0.27,0.24,0.19
492500,492500,0.71,1.33,0.46
617500,317500,0.68,2.61,0.33
337500,192500,0.56,1.29,0.31
372500,622500,0.42,1.15,0.24
302500,842500,0.27,0.36,0.14
617500,342500,0.65,1.03,0.31
392500,522500,0.7,1.24,0.46
352500,252500,0.46,1.71,0.24
442500,297500,0.7,2.04,0.35
447500,262500,0.69,1.64,0.28
122500,672500,0.26,0.39,0.16
252500,732500,0.68,0.81,0.44
267500,872500,0.18,0.42,0.1
507500,292500,0.7,1.48,0.29
277500,557500,0.35,1.78,0.22
82500,882500,0.2,0.16,0.13
182500,802500,0.38,0.36,0.29
207500,787500,0.34,0.34,0.25
552500,132500,0.69,0.99,0.3
72500,587500,0.24,0.73,0.19
197500,697500,0.4,0.6,0.28
307500,697500,0.4,0.96,0.38
537500,262500,0.68,1.56,0.27
292500,92500,0.53,1.45,0.27
277500,692500,0.48,1.19,0.35
187500,782500,0.38,0.41,0.3
192500,662500,0.37,0.59,0.24
237500,962500,0.26,0.26,0.16
322500,177500,0.54,0.92,0.37
612500,252500,0.65,2.21,0.28
172500,837500,0.26,0.25,0.19
572500,147500,0.62,1.06,0.27
217500,557500,0.35,1.45,0.2
242500,647500,0.32,1.96,0.22
