Easting,Northing,NO2_NO3,NH3_NH4,SO2_SO4_NM
477500,117500,0.7,1.13,0.34
137500,602500,0.32,0.81,0.2
317500,972500,0.25,0.37,0.14
337500,232500,0.58,1.49,0.33
447500,1197500,0.39,0.43,0.22
492500,217500,0.7,1.63,0.26
372500,487500,0.79,1.54,0.59
422500,617500,0.5,1.23,0.32
32500,557500,0.31,0.88,0.22
497500,497500,0.67,1.29,0.42
542500,227500,0.74,1.26,0.27
547500,172500,0.71,1.42,0.27
382500,157500,0.58,2.21,0.28
322500,257500,0.66,1.63,0.38
367500,587500,0.63,1,0.4
387500,857500,0.4,1.11,0.21
607500,312500,0.66,2.11,0.31
252500,112500,0.5,1.45,0.27
257500,697500,0.36,0.7,0.25
317500,867500,0.19,1.08,0.1
392500,172500,0.59,1.87,0.27
407500,322500,0.65,2.35,0.36
362500,552500,0.67,1.29,0.41
457500,1187500,0.43,0.43,0.24
57500,537500,0.28,2.61,0.23
262500,612500,0.57,1.63,0.4
237500,202500,0.35,0.58,0.2
302500,717500,0.42,1.01,0.27
442500,232500,0.71,1.65,0.3
517500,182500,0.76,1.23,0.25
572500,302500,0.59,1.55,0.27
402500,492500,0.88,1.6,0.62
497500,187500,0.71,1.12,0.28
372500,167500,0.58,1.53,0.27
112500,892500,0.2,0.18,0.13
332500,937500,0.2,0.67,0.1
227500,342500,0.31,0.52,0.2
337500,1037500,0.28,0.29,0.16
97500,897500,0.22,0.17,0.15
297500,782500,0.65,0.56,0.38
367500,792500,0.78,1.1,0.45
262500,322500,0.49,0.76,0.29
267500,952500,0.28,0.29,0.16
107500,522500,0.27,1.73,0.19
327500,122500,0.54,2.29,0.29
437500,212500,0.64,1.42,0.28
347500,387500,0.51,1.35,0.42
117500,567500,0.31,2.43,0.19
222500,802500,0.33,0.32,0.24
582500,307500,0.66,1.94,0.3
57500,572500,0.24,1.5,0.16
612500,167500,0.68,0.76,0.25
537500,152500,0.77,1.28,0.3
252500,782500,0.54,0.47,0.34
297500,827500,0.26,0.34,0.13
352500,1017500,0.29,0.61,0.17
307500,202500,0.94,1.6,0.64
267500,222500,0.53,1.3,0.35
227500,762500,0.58,0.62,0.43
507500,382500,0.66,1.9,0.35
237500,972500,0.23,0.33,0.15
267500,907500,0.25,0.25,0.14
312500,327500,0.71,1.86,0.44
387500,207500,0.7,1.5,0.35
317500,472500,0.38,0.7,0.28
497500,177500,0.7,1.25,0.28
307500,382500,0.35,1.09,0.22
327500,677500,0.41,0.69,0.24
437500,542500,0.54,1.64,0.41
462500,1207500,0.39,0.53,0.22
357500,82500,0.38,0.67,0.17
597500,292500,0.63,3.15,0.29
542500,102500,0.54,0.97,0.24
487500,407500,0.64,1.7,0.54
272500,252500,0.63,1.01,0.4
247500,732500,0.8,0.91,0.52
417500,357500,1.01,2.85,0.62
202500,562500,0.36,1.59,0.2
57500,532500,0.28,2.46,0.19
242500,662500,0.4,1.51,0.29
447500,327500,0.75,1.74,0.36
577500,222500,0.69,1.33,0.29
257500,822500,0.24,0.25,0.13
502500,487500,0.57,1.32,0.37
187500,47500,0.47,1.71,0.26
352500,697500,0.3,0.44,0.19
542500,267500,0.63,1.52,0.26
482500,142500,0.68,1.03,0.32
412500,167500,0.65,1.68,0.25
212500,562500,0.39,1.19,0.23
382500,87500,0.53,1.26,0.26
247500,852500,0.23,0.39,0.14
267500,777500,0.67,0.57,0.41
287500,692500,0.39,1.18,0.33
267500,242500,0.55,1.14,0.36
342500,207500,0.56,2.12,0.32
367500,447500,0.67,1.66,0.46
272500,672500,0.37,1.65,0.26
367500,622500,0.43,1.16,0.28
322500,857500,0.29,0.75,0.16
442500,457500,0.51,2.44,0.35
392500,857500,0.37,1.21,0.19
487500,127500,0.69,0.99,0.34
527500,427500,0.63,3.67,0.5
637500,152500,0.71,0.88,0.28
352500,642500,0.49,1.25,0.28
482500,397500,0.59,1.29,0.39
242500,642500,0.3,2.04,0.2
292500,252500,0.61,1.18,0.37
212500,82500,0.63,1.27,0.36
327500,562500,0.27,1.04,0.18
367500,657500,0.54,0.82,0.3
197500,572500,0.33,0.86,0.18
172500,652500,0.28,0.48,0.16
117500,887500,0.18,0.14,0.12
202500,87500,0.38,0.5,0.19
287500,292500,0.76,1.36,0.5
272500,207500,0.55,1.05,0.38
402500,132500,0.63,1.26,0.28
382500,642500,0.35,1.3,0.2
102500,487500,0.46,2.82,0.25
277500,222500,0.78,1.33,0.51
487500,237500,0.76,1.43,0.29
527500,437500,0.61,1.67,0.42
532500,327500,0.63,1.4,0.28
562500,322500,0.64,1.35,0.34
372500,97500,0.59,2.66,0.29
387500,407500,0.71,1.52,0.5
617500,147500,0.83,1.14,0.33
132500,537500,0.37,2.6,0.25
162500,677500,0.29,0.45,0.19
227500,562500,0.39,1.02,0.24
272500,102500,0.54,1.82,0.29
592500,237500,0.69,1.23,0.29
602500,192500,0.65,0.75,0.26
217500,657500,0.28,0.63,0.21
257500,342500,0.4,0.82,0.26
302500,537500,0.28,0.75,0.23
132500,522500,0.38,2.37,0.26
112500,502500,0.37,3.38,0.25
252500,702500,0.5,0.71,0.34
232500,737500,0.7,0.82,0.5
242500,242500,0.49,1.61,0.35
302500,627500,0.57,1.03,0.34
267500,612500,0.6,1.44,0.43
307500,107500,0.47,2.49,0.23
417500,137500,0.62,1.54,0.28
582500,107500,0.59,0.62,0.24
347500,132500,0.4,2.03,0.19
347500,272500,0.53,1.39,0.26
357500,752500,0.42,0.99,0.27
457500,287500,0.73,2.56,0.3
522500,302500,0.67,2.2,0.31
537500,397500,0.63,1.66,0.35
182500,772500,0.35,0.41,0.29
337500,502500,0.73,1.52,0.64
442500,237500,0.71,1.84,0.3
367500,452500,0.87,1.8,0.64
342500,397500,0.51,2.31,0.42
107500,892500,0.24,0.21,0.16
167500,842500,0.21,0.18,0.15
287500,372500,0.52,1.28,0.34
502500,252500,0.68,1.41,0.25
502500,472500,0.68,2.2,0.47
392500,217500,0.68,1.92,0.33
517500,452500,0.57,2.48,0.38
122500,842500,0.3,0.28,0.2
587500,297500,0.62,1.18,0.28
277500,37500,0.44,0.96,0.21
352500,592500,0.56,1.04,0.35
282500,617500,0.52,1.05,0.34
197500,907500,0.17,0.15,0.1
27500,492500,0.29,1,0.19
167500,807500,0.24,0.26,0.18
302500,317500,0.66,1.28,0.41
292500,377500,0.43,1.14,0.29
227500,792500,0.34,0.31,0.23
432500,517500,0.45,1.91,0.34
352500,292500,0.56,1.99,0.27
347500,492500,0.59,1.67,0.49
492500,447500,0.63,1.99,0.46
337500,727500,0.37,0.68,0.25
327500,127500,0.5,1.95,0.26
237500,382500,0.35,1.34,0.2
237500,672500,0.51,1.18,0.38
447500,437500,0.55,1.47,0.4
62500,522500,0.29,2.48,0.18
397500,232500,0.53,1.64,0.24
412500,542500,0.57,1.6,0.37
357500,867500,0.27,0.51,0.14
47500,477500,0.21,1.04,0.12
517500,457500,0.54,1.83,0.37
427500,147500,0.62,1.3,0.26
392500,832500,0.37,1.5,0.21
47500,537500,0.3,1.48,0.21
202500,197500,0.4,0.85,0.24
517500,297500,0.72,1.56,0.31
97500,507500,0.29,3.12,0.21
217500,807500,0.38,0.35,0.28
302500,532500,0.29,1.08,0.27
392500,817500,0.42,1.11,0.25
407500,592500,0.49,1.03,0.3
542500,197500,0.73,1.04,0.25
202500,47500,0.42,0.97,0.22
202500,677500,0.35,0.56,0.24
332500,367500,0.49,1.94,0.59
222500,127500,0.42,0.62,0.2
332500,867500,0.21,0.33,0.1
412500,447500,0.72,1.58,0.51
72500,497500,0.27,2.89,0.16
242500,227500,0.47,1.7,0.32
97500,582500,0.35,1.87,0.22
402500,572500,0.49,1.4,0.31
517500,407500,0.7,1.71,0.43
617500,262500,0.69,1.94,0.31
312500,547500,0.26,2.07,0.2
382500,812500,0.45,1.62,0.26
522500,312500,0.64,1.68,0.29
342500,147500,0.39,2.04,0.19
627500,162500,0.68,1.04,0.25
52500,482500,0.22,1.26,0.13
562500,182500,0.66,1.38,0.3
597500,247500,0.66,1.28,0.28
382500,342500,0.66,2.79,0.38
332500,772500,0.7,0.78,0.42
452500,412500,0.61,1.67,0.52
392500,422500,0.98,1.8,0.74
442500,307500,0.72,2.09,0.38
352500,1027500,0.29,0.34,0.16
427500,572500,0.5,1.3,0.33
272500,277500,0.46,1.01,0.27
137500,752500,0.26,0.38,0.19
142500,532500,0.54,2.27,0.63
222500,692500,0.55,0.86,0.43
242500,797500,0.49,0.41,0.31
337500,417500,0.42,1.07,0.28
427500,87500,0.44,0.52,0.21
477500,482500,0.5,2.01,0.35
612500,227500,0.66,1.28,0.28
247500,767500,0.54,0.51,0.35
422500,317500,0.62,2.02,0.35
442500,362500,0.87,2.18,0.61
247500,902500,0.27,0.31,0.17
392500,557500,0.52,1.29,0.31
237500,872500,0.28,0.26,0.16
452500,317500,0.79,1.85,0.41
457500,357500,0.79,2.09,0.5
302500,927500,0.35,0.37,0.19
222500,97500,0.54,1.73,0.29
392500,852500,0.39,1.33,0.2
472500,162500,0.63,1.15,0.25
537500,247500,0.63,1.36,0.27
497500,322500,0.75,1.49,0.33
472500,97500,0.51,0.58,0.25
417500,622500,0.46,1.14,0.27
342500,242500,0.51,1.69,0.29
267500,137500,0.61,1.41,0.31
342500,482500,0.45,1.45,0.34
392500,802500,0.51,0.95,0.31
447500,77500,0.49,0.62,0.21
487500,367500,0.64,2.33,0.35
317500,677500,0.39,0.8,0.25
372500,82500,0.46,1.14,0.21
262500,722500,0.62,0.77,0.4
262500,577500,0.55,1.35,0.42
272500,597500,0.58,1.19,0.39
367500,157500,0.65,2.19,0.35
277500,607500,0.55,1.33,0.38
402500,267500,0.65,1.67,0.29
197500,237500,0.42,1.07,0.25
317500,212500,0.94,1.51,0.6
432500,447500,0.58,1.72,0.42
372500,457500,0.91,1.66,0.67
267500,917500,0.32,0.3,0.18
302500,677500,0.39,1.4,0.34
262500,347500,0.53,0.87,0.36
382500,422500,0.97,2.05,0.78
462500,222500,0.63,1.7,0.24
102500,877500,0.18,0.14,0.11
102500,557500,0.35,2.22,0.24
387500,582500,0.53,1.16,0.33
512500,257500,0.63,1.49,0.24
322500,757500,0.48,0.68,0.27
307500,812500,0.59,0.51,0.33
197500,827500,0.38,0.35,0.29
222500,207500,0.39,0.98,0.23
272500,937500,0.3,0.31,0.18
587500,202500,0.66,1.26,0.3
382500,597500,0.63,1.07,0.39
212500,932500,0.22,0.19,0.13
197500,722500,0.51,0.73,0.39
562500,127500,0.63,0.95,0.28
27500,517500,0.24,1.02,0.16
277500,322500,0.62,1.06,0.42
222500,972500,0.21,0.19,0.13
237500,867500,0.26,0.22,0.14
387500,162500,0.54,1.97,0.25
277500,127500,0.52,1.28,0.25
72500,492500,0.28,3.13,0.16
317500,647500,0.47,1.41,0.3
57500,477500,0.24,1.46,0.13
272500,192500,0.46,0.74,0.3
312500,587500,0.37,1.47,0.23
422500,522500,0.47,1.63,0.32
462500,232500,0.71,1.61,0.27
377500,277500,0.53,1.23,0.29
462500,282500,0.74,2.18,0.29
352500,147500,0.47,2.11,0.21
402500,107500,0.55,1.53,0.26
302500,672500,0.42,1.49,0.34
82500,817500,0.22,0.22,0.14
482500,467500,0.62,2.24,0.44
